track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
PRC,"Natanael Cano, Peso Pluma",2023,961,436027885,19,10,138,G,Minor,78,89,83,10,0,12,5,Felicità
Malvada,Zï¿½ï¿½ Fe,2022,601,154119539,28,64,135,F,Minor,89,89,86,16,0,8,5,Felicità
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",2021,6890,427486004,122,201,124,G#,Minor,79,79,84,2,0,5,5,Felicità
Betty (Get Money),Yung Gravy,2022,2402,221752937,45,26,102,C#,Major,73,62,75,0,0,34,8,Ballabile
Forever,Labrinth,2019,3618,282883169,21,138,80,E,Minor,56,19,46,92,72,11,3,Tristezza
MIDDLE OF THE NIGHT,Elley Duhï¿,2020,4057,872137015,78,240,186,E,Minor,41,9,61,2,0,12,5,Felicità
Sunroof,"Nicky Youre, Dazy",2021,3741,652704649,156,110,131,A#,Major,77,84,71,35,0,15,4,Felicità
Mujeriego,Ryan Castro,2021,1492,231996128,44,91,80,A,Major,76,92,62,6,0,8,13,Felicità
Everything I Love,Morgan Wallen,2023,579,95623148,11,0,104,G#,Major,56,72,85,0,0,15,3,Felicità
Driving Home for Christmas - 2019 Remaster,Chris Rea,1986,888,429504768,50,6,180,A,Major,51,87,58,36,0,18,4,Felicità
Sial,Mahalini,2023,134,166570053,4,0,120,D,Major,56,20,43,89,0,12,4,Relax
deja vu,Olivia Rodrigo,2021,7545,1256880657,117,141,181,A,Major,44,22,60,61,0,42,9,Felicità
AMARGURA,Karol G,2023,1133,153372011,14,23,107,F#,Minor,92,55,70,18,0,15,7,Ballabile
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,3311,297328960,129,212,177,A,Major,25,17,30,90,0,13,3,Tristezza
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",2022,852,174006928,14,50,87,G,Major,87,52,52,31,0,28,24,Ballabile
All of Me,John Legend,2013,27221,2086124197,308,"4,534",120,G#,Major,42,33,26,92,0,13,3,Relax
En Paris,"El Chachito, Junior H",2022,406,198275403,3,2,139,D#,Minor,70,77,48,37,0,12,5,Ballabile
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2023,588,46142772,23,31,90,G#,Major,62,7,62,6,0,58,6,Ballabile
Alone,Burna Boy,2022,782,96007391,27,32,90,E,Minor,61,32,67,15,0,11,5,Ballabile
Belly Dancer,"BYOR, Imanbek",2022,5115,383835984,109,301,122,C#,Major,85,42,80,6,0,17,14,Carica
No Role Modelz,J. Cole,2014,21164,1791000570,80,476,100,A#,Minor,70,47,52,30,0,6,33,Ballabile
People,Libianca,2022,3506,373199958,105,169,198,A#,Minor,59,71,42,55,0,10,7,Felicità
Photograph,Ed Sheeran,2014,18778,2236667932,228,"2,453",108,E,Major,61,20,38,61,0,10,5,Relax
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",2019,2696,540539717,42,57,120,G#,Major,58,44,60,44,9,5,6,Relax
Bones,Imagine Dragons,2021,4198,838079900,98,327,114,F,Minor,77,65,72,2,0,7,5,Felicità
Desesperados,"Chencho Corleone, Rauw Alejandro",2021,6821,809306935,83,128,90,C#,Minor,87,51,69,36,0,9,8,Ballabile
Light Switch,Charlie Puth,2022,4049,500340342,119,85,184,F#,Major,69,91,63,11,0,9,31,Felicità
Me and Your Mama,Childish Gambino,2016,8775,445590495,33,107,118,F,Major,56,25,45,1,3,7,3,Ballabile
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022,4627,237351106,38,32,101,C#,Minor,78,40,74,36,0,17,27,Ballabile
